player_name,club_name,position_name,role,cluster,market_value,market_value_numeric,goals_per_90,expected_goals_per_90,threat,assists_per_90,expected_assists_per_90,creativity,expected_goal_involvements_per_90,influence,tackles_per_90,recoveries_per_90,clearances_blocks_interceptions_per_90,defensive_contribution_per_90
Michael Keane,Everton,DEF,Defensive Core Players,1,€1.00m,1.0,0.10432766615146831,0.08,299.0,0.0347758887171561,0.02,47.4,0.1,770.4,1.2867078825347757,3.025502318392581,9.215610510046368,10.5
Axel Tuanzebe,Burnley,DEF,Defensive Core Players,1,€1.00m,1.0,0.07493755203996669,0.05,52.0,0.0,0.01,11.1,0.06,276.4,1.0491257285595337,2.9975020815986677,7.943380516236469,8.99
Lewis Dunk,Brighton & Hove Albion,DEF,Defensive Core Players,1,€1.50m,1.5,0.031723651744800845,0.06,210.0,0.031723651744800845,0.02,125.5,0.08,649.6,1.1103278110680297,4.282692985548114,6.217835741980966,7.33
Justin Devenny,Crystal Palace,MID,Defensive Core Players,1,€1.50m,1.5,0.11464968152866244,0.27,168.0,0.0,0.04,101.8,0.31,115.0,2.8662420382165608,3.8980891719745228,1.4904458598726116,8.25
Ross Barkley,Aston Villa,MID,Attacking Creators & Finishers,0,€1.50m,1.5,0.31990521327014215,0.17,191.0,0.21327014218009477,0.13,162.3,0.3,227.8,1.4928909952606635,4.798578199052132,1.599526066350711,7.89
Lyle Foster,Burnley,FWD,Defensive Core Players,1,€1.50m,1.5,0.19838354151359294,0.21,262.0,0.1322556943423953,0.02,147.0,0.23,219.0,1.0580455547391625,2.7773695811903014,1.7854518736223366,5.62
Lamare Bogarde,Aston Villa,DEF,Defensive Core Players,1,€1.70m,1.7,0.0,0.0,14.0,0.0,0.02,59.4,0.02,133.0,2.2456813819577737,3.7140115163147795,2.9366602687140118,5.18
Sam Johnstone,Wolverhampton Wanderers,GKP,Goalkeepers,2,€1.80m,1.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,308.0,0.16666666666666666,8.916666666666666,2.0,0.0
Lewis Cook,AFC Bournemouth,MID,Defensive Core Players,1,€10.00m,10.0,0.0,0.01,12.0,0.10321100917431193,0.05,183.8,0.06,206.8,2.5802752293577984,6.39908256880734,5.779816513761468,14.76
Taiwo Awoniyi,Nottingham Forest,FWD,Attacking Creators & Finishers,0,€10.00m,10.0,0.75,0.69,235.0,0.375,0.14,79.0,0.83,177.2,0.375,3.375,1.125,4.88
